
Image Name                     PID Session Name        Session#    Mem Usage Status          User Name                                              CPU Time Window Title                                                            
svchost.exe                   3964 Services                   0     15,636 K Unknown         N/A                                                     0:00:00 N/A                                                                     
svchost.exe                   3972 Services                   0     31,644 K Unknown         N/A                                                     0:00:14 N/A                                                                     
svchost.exe                   4040 Services                   0     16,072 K Unknown         N/A                                                     0:00:03 N/A                                                                     
svchost.exe                   4048 Services                   0     15,748 K Unknown         N/A                                                     0:00:03 N/A                                                                     
WmiPrvSE.exe                  4168 Services                   0      9,184 K Unknown         N/A                                                     0:00:05 N/A                                                                     
svchost.exe                   4216 Services                   0     28,532 K Unknown         N/A                                                     0:00:15 N/A                                                                     
svchost.exe                   4336 Services                   0     16,080 K Unknown         N/A                                                     0:00:00 N/A                                                                     
svchost.exe                   4504 Services                   0     13,780 K Unknown         N/A                                                     0:00:01 N/A                                                                     
svchost.exe                   4508 Services                   0     19,204 K Unknown         N/A                                                     0:00:07 N/A                                                                     
svchost.exe                   4664 Services                   0     17,556 K Unknown         N/A                                                     0:00:07 N/A                                                                     
svchost.exe                   4692 Services                   0     40,496 K Unknown         N/A                                                     0:01:21 N/A                                                                     
svchost.exe                   4756 Services                   0     20,884 K Unknown         N/A                                                     0:00:01 N/A                                                                     
svchost.exe                   4860 Services                   0     19,336 K Unknown         N/A                                                     0:00:00 N/A                                                                     
spoolsv.exe                   5012 Services                   0     10,908 K Unknown         N/A                                                     0:00:00 N/A                                                                     
svchost.exe                   5180 Services                   0     61,632 K Unknown         N/A                                                     0:00:14 N/A                                                                     
AnyDesk.exe                   5200 Services                   0     11,072 K Unknown         N/A                                                     0:00:05 N/A                                                                     
LMIGuardianSvc.exe            5208 Services                   0      5,200 K Unknown         N/A                                                     0:00:00 N/A                                                                     
hamachi-2.exe                 5216 Services                   0     12,956 K Unknown         N/A                                                     0:00:11 N/A                                                                     
RtkBtAudioServ.exe            5224 Services                   0      4,256 K Unknown         N/A                                                     0:00:00 N/A                                                                     
svchost.exe                   5236 Services                   0     23,796 K Unknown         N/A                                                     0:00:01 N/A                                                                     
svchost.exe                   5252 Services                   0     16,584 K Unknown         N/A                                                     0:00:00 N/A                                                                     
XtuService.exe                5268 Services                   0     15,048 K Unknown         N/A                                                     0:00:02 N/A                                                                     
RtkBtManServ.exe              5276 Services                   0      5,716 K Unknown         N/A                                                     0:00:00 N/A                                                                     
WMIRegistrationService.ex     5288 Services                   0      3,392 K Unknown         N/A                                                     0:00:00 N/A                                                                     
svchost.exe                   5312 Services                   0     34,532 K Unknown         N/A                                                     0:00:02 N/A                                                                     
svchost.exe                   5320 Services                   0     12,160 K Unknown         N/A                                                     0:00:00 N/A                                                                     
hola_updater.exe              5328 Services                   0     37,728 K Unknown         N/A                                                     0:00:04 N/A                                                                     
sqlwriter.exe                 5336 Services                   0      5,140 K Unknown         N/A                                                     0:00:00 N/A                                                                     
SECOMN64.exe                  5344 Services                   0      8,676 K Unknown         N/A                                                     0:00:00 N/A                                                                     
svchost.exe                   5352 Services                   0     13,316 K Unknown         N/A                                                     0:00:00 N/A                                                                     
PnkBstrA.exe                  5360 Services                   0      3,104 K Unknown         N/A                                                     0:00:00 N/A                                                                     
